subject	roi_set	roi	run	ok	fail_reason	n_yy_trials	n_kj_trials
sub-28	meta_metaphor	meta_L_AG	3	True		35	35
sub-28	meta_metaphor	meta_L_AG	4	True		35	35
sub-28	meta_metaphor	meta_L_IFG	3	True		35	35
sub-28	meta_metaphor	meta_L_IFG	4	True		35	35
sub-28	meta_metaphor	meta_L_pMTG_pSTS	3	True		35	35
sub-28	meta_metaphor	meta_L_pMTG_pSTS	4	True		35	35
sub-28	meta_metaphor	meta_L_temporal_pole	3	True		35	35
sub-28	meta_metaphor	meta_L_temporal_pole	4	True		35	35
sub-28	meta_metaphor	meta_R_AG	3	True		35	35
sub-28	meta_metaphor	meta_R_AG	4	True		35	35
sub-28	meta_metaphor	meta_R_IFG	3	True		35	35
sub-28	meta_metaphor	meta_R_IFG	4	True		35	35
sub-28	meta_metaphor	meta_R_pMTG_pSTS	3	True		35	35
sub-28	meta_metaphor	meta_R_pMTG_pSTS	4	True		35	35
sub-28	meta_metaphor	meta_R_temporal_pole	3	True		35	35
sub-28	meta_metaphor	meta_R_temporal_pole	4	True		35	35
